Code	Group	Subgroup	Brand	Item	Description	Wholesale price (USD)
2280	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tanigawa-C Brass/Chrome 		95.11
2281	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tanigawa-S-Bn Brass/Stainless steel 		140.68
2282	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tanigawa-S-S Brass/Chrome		127.74
2283	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-Be/Brass/Granite/Vanilla		88.11
2284	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-Bl/Brass/Granite/Black		88.11
2285	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-C Brass/Chrome		78.2
2286	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-Ca/Brass/Granite/Caramel		88.11
2287	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-Ch/Brass/Granite/Champagne		88.11
2288	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-Dc/Brass/Granite/Dark chocolate		88.11
2289	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-Ev/Brass/Granite/Everest		88.11
2290	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-Gr/Brass/Granite/Leningrad Grey		88.11
2291	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-Ma/Brass/Granite/Marzipan		88.11
2292	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-Pa/Brass/Granite/Paste		88.11
2293	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-Pl/Brass/Granite/Platinum		88.11
2294	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-Sa/Brass/Granite/Beige		88.11
2295	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tateyama-S-Wh/Brass/Granite/White		88.11
2296	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tokigawa-Ab Brass/Antique Brass 		140.68
2297	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tokigawa-C Brass/Chrome 		118.89
2298	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Be Brass/Granite/Vanilla		145.57
2299	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Bl Brass/Granite/Black		145.57
2300	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Bn Brass/Stainless steel		136.72
2301	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-C Brass/Chrome		127.74
2302	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Ca Brass/Granite/Caramel		145.57
2303	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Ch Brass/Granite/Champagne		145.57
2304	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Dc Brass/Granite/Dark chocolate		145.57
2305	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Ev Brass/Granite/Everest		145.57
2306	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Gr Brass/Granite/Leningrad Grey		145.57
2307	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Ma Brass/Granite/Marzipan		145.57
2308	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Pa Brass/Granite/Paste		145.57
2309	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Pl Brass/Granite/Platinum		145.57
2310	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Sa Brass/Granite/Beige		145.57
2311	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tonami-Wh Brass/Granite/White		145.57
2312	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tottori-Ab Brass/Antique Brass		193.12
2313	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tottori-Ac Brass/Antique Copper		193.12
2314	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tottori-Gb Brass/Graphite/Clear Crystal 		295.24
2315	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tottori-Orb Brass/Antique Bronze		193.12
2316	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Tottori-Si Brass/Antique Silver		221.92
2317	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Toyama Brass/Chrome		133.68
2318	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Umi-Ab Brass/Antique Brass		81.24
2319	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Umi-Be Brass/Vanilla 		81.24
2320	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Umi-Bl Brass/Black 		81.24
2321	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Umi-Bn Brass/Stainless steel 		81.24
2322	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Umi-C Brass/Chrome 		65.39
2323	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Umi-Ca Brass/Caramel 		81.24
2324	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Umi-Dc Brass/Dark chocolate 		81.24
2325	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Umi-Gr Brass/Leningrad Grey 		81.24
2326	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Umi-Ma Brass/Marzipan 		81.24
2327	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Umi-Pa Brass/Paste 		81.24
2328	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Umi-Sa Brass/Beige 		81.24
2329	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Wakayama-Bn Brass/Stainless steel 		107.92
2330	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Wakayama-C Brass/Chrome 		95.11
2331	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Wakayama-Gm Brass/Blued Steel		142.66
2332	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Wakayama-Lg Brass/Light Gold		142.66
2333	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamada-Ab Brass/Brass 		167.37
2334	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamada-Bl Brass/Granite/Black		167.37
2335	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamada-Bn Brass/Stainless steel		167.37
2336	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamada-C Brass/Chrome		158.52
2337	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamada-Ca Brass/Granite/Caramel		167.37
2338	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamada-Ch Brass/Granite/Champagne		167.37
2339	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamada-Dc Brass/Granite/Dark chocolate		167.37
2340	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamada-Gr Brass/Granite/Leningrad Grey		167.37
2341	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamada-Ma Brass/Granite/Marzipan		167.37
2342	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamada-Pa Brass/Granite/Paste 		167.37
2343	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamada-Sa Brass/Granite/Beige		167.37
2344	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamada-Wh Brass/Granite/White		167.37
2345	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yamagata-G Brass/Gilding		358.64
2346	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yatomi-Bn-Bl Brass/Stainless steel/Black Hose 		142.66
2347	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yatomi-Bn-Gr Brass/Stainless steel/Gray 		142.66
2348	Embedded Technology	Kitchen faucets	Omoikiri	Faucet Omoikiri Yatomi-Bn-Wh Brass/Stainless steel/White Hose 		142.66
2349	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Biferno Chocolate	Brass, drinking water outlet, high turning spout, single lever, ceramic Cartridge 40 mm, flexible connection 400 mm, faucet height 330 mm, spout height: 293 mm	134.74
2350	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Biferno Ivory	Brass, drinking water outlet, high turning spout, single lever, ceramic Cartridge 40 mm, flexible connection 400 mm, faucet height 330 mm, spout height: 293 mm	134.74
2351	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Isonzo Ivory	Brass, high turning spout, single lever, ceramic Cartridge 40 mm, flexible connection 400 mm	54.69
2352	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Isonzo M White		54.69
2353	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Isonzo Sand	Brass, high turning spout, single lever, ceramic Cartridge 40 mm, flexible connection 400 mm	54.69
2354	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Isonzo Space Gray	Brass, high turning spout, single lever, ceramic Cartridge 40 mm, flexible connection 400 mm	54.69
2355	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Isonzo White	Brass, high turning spout, single lever, ceramic Cartridge 40 mm, flexible connection 400 mm	54.69
2356	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Salto Black	Brass, low turning spout, single lever, ceramic Cartridge 40 mm, flexible connection 400 mm	50.59
2357	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Salto M Chocolate		50.59
2358	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Salto M Ivory		50.59
2359	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Salto Space Gray	Brass, low turning spout, single lever, ceramic Cartridge 40 mm, flexible connection 400 mm	50.59
2360	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Salto White	Brass, low turning spout, single lever, ceramic Cartridge 40 mm, flexible connection 400 mm	50.59
2361	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Tanaro Chocolate	Brass, high turning spout, single lever, ceramic Cartridge 35 mm, flexible connection 400 mm	71.86
2362	Embedded Technology	Kitchen faucets	Lex	Kitchen Faucet Lex Tanaro M Space Gray		63.8
2363	Embedded Technology	Kitchen faucets	Ukinox	Kitchen Faucet Ukinox 41116 Stcr Matte Chrome		31.97
2364	Embedded Technology	Kitchen faucets	Ukinox	Kitchen Faucet Ukinox 42116 Cr Chrome		29.19
2365	Embedded Technology	Kitchen faucets	Ukinox	Kitchen Faucet Ukinox 42116 Ss Steel		31.04
2366	Embedded Technology	Kitchen faucets	Ukinox	Kitchen Faucet Ukinox 42116 Stcr Matte Chrome		31.97
2367	Embedded Technology	Kitchen faucets	Ukinox	Kitchen Faucet Ukinox 7006 Cr Chrome		40.69
2368	Embedded Technology	Kitchen faucets	Ukinox	Kitchen Faucet Ukinox 7006 Ss Steel		45.18
2369	Embedded Technology	Kitchen faucets	Ukinox	Kitchen Faucet Ukinox 7006 Stcr Matte Chrome		45.18
2370	Embedded Technology	Kitchen faucets	Ukinox	Kitchen Faucet Ukinox Um1301 Stcr Matte Chrome		11.49
2371	Embedded Technology	Kitchen faucets	Ukinox	Kitchen Faucet Ukinox Um2302 Cr Chrome		10.96
2372	Embedded Technology	Kitchen faucets	Ukinox	Kitchen Faucet Ukinox Um2302 Stcr Matte Chrome		13.87
2373	Embedded Technology	Kitchen faucets	Ukinox	Kitchen Faucet Ukinox Um2303 Cr Chrome		10.96
2374	Embedded Technology	Kitchen faucets	Ukinox	Kitchen Faucet Ukinox Um2303 Stcr Matte Chrome		13.87
2375	Embedded Technology	Kitchen faucets	Zigmund & Shtain	Kitchen Faucet Zigmund & Shtain 1300 Black Basalt		123.11
2376	Embedded Technology	Kitchen faucets	Zigmund & Shtain	Kitchen Faucet Zigmund & Shtain 1600 Black Basalt		76.48
2377	Embedded Technology	Kitchen faucets	Zigmund & Shtain	Kitchen Faucet Zigmund & Shtain 1900 Brass		110.56
2378	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Ab Brass/Antique Brass		71.33
2379	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Ac Brass/Antique Copper		71.33
2380	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Be Vanilla		71.33
2381	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Bl Brass/Black 		71.33
2382	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Ca Brass/Caramel 		71.33
2383	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Ch Brass/Champagne		71.33
2384	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Dc Brass/Dark chocolate		71.33
2385	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Ev Brass/Everest		71.33
2386	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-G Brass/Gold		71.33
2387	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Gr Brass/Leningrad Grey 		71.33
2388	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Ma Brass/Marzipan 		71.33
2389	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Orb Brass/Antique Bronze		71.33
2390	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Pa Brass/Paste 		71.33
2391	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Pl Brass/Platinum		71.33
2392	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Sa Brass/Beige 		71.33
2393	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Si Brass/Silver		71.33
2394	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-01-Wh Brass/White		71.33
2395	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Be Brass/Vanilla		59.44
2396	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Bl Brass/Black 		59.44
2397	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Bn Brass/Stainless steel		59.44
2398	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-C Brass/Chrome		59.44
2399	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Ch Brass/Champagne		59.44
2400	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Dc Brass/Dark chocolate		59.44
2401	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Ev Brass/Everest		59.44
2402	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Gb Brass/Graphite		59.44
2403	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Pl Brass/Platinum		59.44
2404	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Pvd-G Brass/Light Gold		59.44
2405	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Pvd-Gm Brass/Blued Steel		59.44
2406	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Sa Brass/Beige		59.44
2407	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Wh Brass/White		59.44
2408	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Ca Brass/Caramel 		59.44
2409	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Gr Brass/Leningrad Grey 		59.44
2410	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Ma Brass/Marzipan 		59.44
2411	Embedded Technology	Soap dispensers	Omoikiri	Dispenser Omoikiri For Detergent Om-02-Pa Brass/Paste 		59.44
2412	Embedded Technology	Soap dispensers	Ukinox	Dispenser Ukinox 808 Cr Chrome		8.72
2413	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Double Bowl Sinks With round overflows And automatic valve Wk-2-R-In-A		67.37
2414	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Double Bowl Sinks With Rectangular Overflows, Decorative lattices and decorative overlays Wk-2C-Gm. Color: Blued Steel		96.03
2415	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Double Bowl Sinks With Rectangular Overflows, Decorative lattices and decorative overlays Wk-2C-In. Color: Stainless steel		71.33
2416	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Double Bowl Sinks With Rectangular Overflows, Decorative lattices and decorative overlays Wk-2C-Lg. Color: Light Gold		96.03
2417	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Double Bowl Sinks With Rectangular Overflows, Decorative lattices And automatic valve Wk-2-Gm-A. Color: Blued Steel		95.11
2418	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Double Bowl Sinks With Rectangular Overflows, Decorative lattices And automatic valve Wk-2-In-A. Color: Stainless steel		70.28
2419	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Double Bowl Sinks With Rectangular Overflows, Decorative lattices And automatic valve Wk-2-Lg-A. Color: Light Gold		95.11
2420	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Round Overflow Wk-1Cl-R-Ab022. Color: Antique Brass 		34.61
2421	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Round Overflow Wk-1-R-Ab. Color: Antique Brass		34.61
2422	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Round Overflow Wk-1-R-G. Color: Gold		34.61
2423	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Round Overflow Wk-1-R-In. Color: Stainless steel		22.72
2424	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Rectangular Overflow And Decorative Grille Wk-1-Ab. Color: Antique Brass		31.7
2425	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Rectangular Overflow And Decorative Grille Wk-1-Gm. Color: Blued Steel		31.7
2426	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Rectangular Overflow And Decorative Grille Wk-1-In. Color: Stainless steel		23.78
2427	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Rectangular Overflow, Decorative Grille And Decorative Trim Wk-1C-Gm. Color: Blued Steel		46.5
2428	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Rectangular Overflow, Decorative Grille And Decorative Trim Wk-1C-In. Color: Stainless steel		31.7
2429	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Rectangular Overflow, Decorative Grille And Decorative Trim Wk-1C-Lg. Color: Light Gold		46.5
2430	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Rectangular Overflow, Decorative Grille And automatic valve Wk-1-Ab-A. Color: Antique Brass		54.42
2431	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Rectangular Overflow, Decorative Grille And automatic valve Wk-1-Gm-A. Color: Blued Steel		54.42
2432	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Rectangular Overflow, Decorative Grille And automatic valve Wk-1-In-A. Color: Stainless steel		35.67
2433	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With Rectangular Overflow, Decorative Grille And automatic valve Wk-1-Lg-A. Color: Light Gold		54.42
2434	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With hidden overflow Wk-1,5-S-In. Color: Stainless steel		45.57
2435	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With hidden overflow Wk-1-S-Ab. Color: Antique Brass		34.61
2436	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With hidden overflow Wk-1-S-Gm. Color: Blued Steel		34.61
2437	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For Single Bowl Sinks With hidden overflow Wk-1-S-In. Color: Stainless steel		22.72
2438	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri For 1.5 bowl sinks With Rectangular Overflows And Decorative lattices Wk-1.5-In. Color: Stainless steel		46.5
2439	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri With automatic valve For Single Bowl Sinks With Round Overflow Wk-1Cl-R-Ab022-A. Color: Antique Brass 		54.42
2440	Embedded Technology	Fittings	Omoikiri	Fittings Omoikiri With automatic valve For 1.5 bowl sinks With Round Overflow Wk-1,5Cl-R-Ab022-A. Color: Antique Brass		75.29
2441	Embedded Technology	Dish drying	Omoikiri	Embedded Dish drying Omoikiri Dry-01-Gm		827.19
2442	Embedded Technology	Dish drying	Omoikiri	Embedded Dish drying Omoikiri Dry-01-In		783.6
2443	Embedded Technology	Dish drying	Omoikiri	Embedded Dish drying Omoikiri Dry-01-Lg		827.19
2444	Embedded Technology	Dish drying	Omoikiri	Embedded Dish drying Omoikiri Dry-02-Gm		783.6
2445	Embedded Technology	Dish drying	Omoikiri	Embedded Dish drying Omoikiri Dry-02-In		729.17
2446	Embedded Technology	Dish drying	Omoikiri	Embedded Dish drying Omoikiri Dry-02-Lg		783.6
2447	Embedded Technology	Wash outlets	Omoikiri	Outlet Omoikiri With Round Overflow D-01-Ab, Color: Brass 		29.72
2448	Embedded Technology	Wash outlets	Ukinox	Outlet Ukinox S701 R (Large With Overflow Complete With Siphon And Corrugated Siphon)		3.57
2449	Embedded Technology	Wash outlets	Zigmund & Shtain	Outlet Zigmund & Shtain Orio Z-5012		9.38
2450	Embedded Technology	Wash outlets	Omoikiri	Decorative Overlay Omoikiri For outlet Color Ab		15.85
2451	Embedded Technology	Wash outlets	Omoikiri	Decorative Overlay Omoikiri For outlet Color Gm 		15.85
2452	Embedded Technology	Wash outlets	Omoikiri	Decorative Overlay Omoikiri For outlet Color In 		10.83
2453	Embedded Technology	Wash outlets	Omoikiri	Decorative Overlay Omoikiri For outlet Color Lg		15.85
2454	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston - Abs Blu1 R 50 V		98.54
2455	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Andris Lux 6 Or White		62.09
2456	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Andris Lux 6 Ur White		62.09
2457	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Blu1 Eco Pw 50 V		121.92
2458	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Blu1 Eco Pw 65 V Slim		134.21
2459	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Blu1 Eco Pw 80 V Slim		139.23
2460	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Blu1 R 100 V		125.62
2461	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Blu1 R 50 V		101.05
2462	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Blu1 R 50 V Slim		104.75
2463	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Blu1 R 65 V Slim		113.21
2464	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Blu1 R 80 V		114.92
2465	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Blu1 R 80 V Slim		118.36
2466	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Pro R 80 H		123.25
2467	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Pro1 R 120 V		156.8
2468	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Pro1 R 150 V		185.07
2469	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Vls Evo Inox Pw 80 D White		266.04
2470	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Vls Evo Pw 100 D 	White, 100 l, 2500 W, enamel, electronic control, vertical	258.51
2471	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Vls Evo Pw 30 D 	Water Heater accumulative ARISTON ABS VLS EVO PW 30 D White/silver, 30 l, 4 kW, enamel, electronic control, vertical installation, bottom connection	128.4
2472	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Vls Evo Pw 50 D 	White, 50 l, 2500 W, enamel, electronic control, vertical	191.54
2473	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Abs Vls Evo Pw 80 D 	White, 80 l, 2500 W, enamel, electronic control, vertical	226.02
2474	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Ari Flat Pw 50 V		121
2475	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Ari Flat Pw 80 V		142.8
2476	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Ariston Blu Evo R 15 Ru 		77.94
2477	Climatic Equipment	Water heaters Gas Flowing	Ariston	Water Heater Ariston Aures S 3.5 Com Pl, 3,5 kW		37.12
2478	Climatic Equipment	Water heaters Gas Flowing	Ariston	Water Heater Ariston Aures S 3.5 Sh Pl, 3,5 kW		35.53
2479	Climatic Equipment	Water heaters Gas Flowing	Ariston	Water Heater Ariston Aures Sf 5.5 Com, 5,5 kW		44.78
2480	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Blu Evo R 10 Ru 		68.82
2481	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Blu Evo R 10 U Ru 		68.82
2482	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Blu Evo R 15 U Ru 		77.94
2483	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Blu Evo R 30 Ru		85.33
2484	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Jovis 100 (362314)		240.94
2485	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Jovis 50 (362312)		178.73
2486	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Jovis 80 (362313)		210.83
2487	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Pro1 R 80 V Pl Dry 		126.55
2488	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Pro1 R 100 V Pl Dry 		138.44
2489	Climatic Equipment	Water Heaters Accumulative	Ariston	Water Heater Ariston Pro1 R 50 V Pl Dry 		111.23
